O*NET-SOC Code,Title,Thinking Creatively Combined,Originality Combined,Fluency of Ideas Combined,Technology Design Combined,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment Combined"
11-3111.00,Compensation and Benefits Managers,2.5664285714285717,1.9449142857142856,2.086428571428572,1.0442857142857145,1.0
11-3121.00,Human Resources Managers,2.8252,2.571428571428571,2.6185714285714288,1.0357142857142856,1.0072
11-3131.00,Training and Development Managers,3.3214,2.524285714285714,2.645714285714285,1.0803571428571428,1.1010285714285717
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",2.922285714285714,2.1635714285714283,2.2308,1.1408,1.3706
11-9021.00,Construction Managers,2.369814285714286,1.9842857142857144,2.2308,1.1071428571428572,2.3428571428571425
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",2.790057142857143,2.125,2.2308,1.0664285714285715,1.0552
11-9032.00,"Education Administrators, Kindergarten through Secondary",3.247342857142857,2.645714285714285,2.7142857142857144,1.1071428571428572,1.2137714285714285
11-9033.00,"Education Administrators, Postsecondary",3.0925857142857143,2.645714285714285,2.524285714285714,1.0664285714285715,1.0021714285714285
11-9041.00,Architectural and Engineering Managers,3.3828,2.4971428571428573,2.6185714285714288,1.22,3.5658857142857148
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,3.4095,2.4714285714285715,2.3192,1.2592,1.8562857142857143
11-9051.00,Food Service Managers,2.134,1.8057142857142856,1.8057142857142856,1.0089285714285714,1.2904
11-9071.00,Gambling Managers,2.1253714285714285,1.7200000000000002,1.8571428571428568,1.0442857142857145,1.1376857142857142
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",3.2577142857142856,2.086428571428572,2.1607142857142856,1.0336571428571428,1.1081571428571428
11-9081.00,Lodging Managers,2.7624571428571425,2.2308,2.31,1.1257142857142857,1.0992
11-9111.00,Medical and Health Services Managers,2.8983428571428576,2.1357142857142857,2.1635714285714283,1.16,1.1978
11-9121.00,Natural Sciences Managers,2.9352,2.3192,2.2857142857142856,1.6665142857142858,1.3467714285714285
11-9121.01,Clinical Research Coordinators,2.0771714285714284,1.8057142857142856,1.8571428571428568,1.0664285714285715,1.235
11-9121.02,Water Resource Specialists,3.0397000000000003,2.125,2.125,1.2036571428571428,2.1714285714285717
11-9131.00,Postmasters and Mail Superintendents,2.287414285714286,1.8571428571428568,1.8571428571428568,1.1408,1.1984571428571429
11-9141.00,"Property, Real Estate, and Community Association Managers",2.309285714285714,1.7200000000000002,1.8571428571428568,1.0089285714285714,1.06
11-9151.00,Social and Community Service Managers,2.6359000000000004,2.4732142857142856,2.4035714285714285,1.1408,1.039928571428571
