Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence,Adjusted Prediction Score
Al Spalding,0,0,1,0.993150255759705,0.9863474305155674
Ken Holtzman,0,0,1,0.9811166684298817,0.9625899170709503
Bill Lee (leebi02),0,0,1,0.9943865207740464,0.9888045526971131
Bob Lemon,1,0,0,0.8544066066664204,-1.4600212990304546
John Lackey,0,0,1,0.9968056617962848,0.9936215273891293
Javier Vázquez,0,0,1,0.982237115293861,0.9647897506608056
Steve Rogers,0,0,1,0.9560472923553236,0.9140264252199456
Frank Viola,0,0,1,0.978362744515355,0.9571936598556178
Mike Moore,0,0,1,0.998959815895906,0.9979207137747824
Bob Caruthers,0,0,1,0.7936780082481784,0.6299247807767955
Pedro Martínez,1,0,0,0.7251684767763019,-1.0517386394201238
Tommy Bridges,0,0,1,0.7338425054858482,0.538524822857747
Slim Sallee,0,0,1,0.9539907267408824,0.9100983067075968
Howard Ehmke,0,0,1,0.9928035903317988,0.9856589689757101
Frank Dwyer,0,0,1,0.9931135393280316,0.9862745019966498
Mike Cuellar,0,0,1,0.6692450971529633,0.4478890000632793
Mark Baldwin,0,0,1,0.999865255273227,0.9997305287025954
Dwight Gooden,0,0,1,0.948684481650834,0.9000022457251116
Bob Forsch,0,0,1,0.99869502203499,0.9973917470374692
Bill Doak,0,0,1,0.9815187495433352,0.9633790557051123
Lon Warneke,0,0,1,0.8728729109660601,0.7619071186983635
Earl Moore,0,0,1,0.9058164689794777,0.820503475474449
Mike Morgan,0,0,1,0.9998033777664012,0.999606794193105
Mike Flanagan,0,0,1,0.9913994881517824,0.982872945107616
Jesse Tannehill,0,0,1,0.8536438629818184,0.7287078448065215
Red Ehret,0,0,1,0.9999553204210404,0.9999106428383456
Roy Halladay,1,0,0,0.9403021335707644,-1.7683362047954634
Bert Cunningham,0,0,1,0.9999001822674872,0.9998003744985542
A.J. Burnett,0,0,1,0.999621877898244,0.9992438987728118
Dave McNally,0,0,1,0.9440265375292368,0.8911861035594396
Hippo Vaughn,0,0,1,0.9046453372032794,0.8183831861236351
Félix Hernández,0,0,1,0.9934872651111704,0.9870169459380729
Dizzy Trout,0,0,1,0.956857325612342,0.9155759415780036
Tom Candiotti,0,0,1,0.9997268324564574,0.9994537395334218
Guy Bush,0,0,1,0.9826090048953806,0.9655204565014901
Kevin Millwood,0,0,1,0.9984815593783084,0.9969654244185384
Claude Passeau,0,0,1,0.989058795753578,0.978237301457518
Bill Sherdel,0,0,1,0.9710302335200433,0.9428997144099898
Bob Knepper,0,0,1,0.9984894643333432,0.9969812103846866
Art Nehf,0,0,1,0.9700991425490602,0.9410923463744217
Danny MacFayden,0,0,1,0.9997757361401576,0.999551522574594
Rick Sutcliffe,0,0,1,0.9949506208505956,0.9899267379309856
Wilbur Wood,0,0,1,0.9730768599273736,0.9468785753261174
Jim Slaton,0,0,1,0.99817426368366,0.9963518606804168
Virgil Trucks,0,0,1,0.9403018315350296,0.8841675343881311
Urban Shocker,0,0,1,0.616500676945254,0.38007308467395645
Ed Morris,0,0,1,0.8528616804388576,0.7273730459609921
Vern Law,0,0,1,0.9830537021222094,0.9663945812561817
Derek Lowe,0,0,1,0.99779405799205,0.9955929821642424
Mel Stottlemyre,0,0,1,0.9398160206379204,0.8832541526476959
Sam Leever,0,0,1,0.644372169609832,0.4152154929676821
Burt Hooton,0,0,1,0.985037079906322,0.9702980487903738
John Burkett,0,0,1,0.9977229238675758,0.9954510328108644
Tom Hughes,0,0,1,0.9914745463549366,0.9830217760697273
Rube Walberg,0,0,1,0.9883062906428522,0.976749324124234
Sadie McMahon,0,0,1,0.9956449776173516,0.9913089214546565
Ed Reulbach,0,0,1,0.7261091964515283,0.527234565171484
Dave Stewart,0,0,1,0.9927846527516904,0.9856213667392945
Jack Taylor (tayloja02),0,0,1,0.9166405022956808,0.840229810448878
Wes Ferrell,0,0,1,0.872365668198976,0.7610218590522458
Rudy May,0,0,1,0.988673034010681,0.9774743681798851
James Shields,0,0,1,0.9962364497574792,0.9924870638253863
Willis Hudlin,0,0,1,0.999575457758088,0.9991510957522911
Deacon Phillippe,0,0,1,0.6255988685317481,0.3913739443082034
Jouett Meekin,0,0,1,0.9980308658041736,0.9960656090978283
Kevin Appier,0,0,1,0.9954947558731898,0.9910098089710218
Rick Rhoden,0,0,1,0.9972342680231632,0.9944761853196941
Jimmy Key,0,0,1,0.9915999424483424,0.9832704458635559
Bob Buhl,0,0,1,0.9889084943788748,0.9779400102546931
Barry Zito,0,0,1,0.9987769795910622,0.997555454961045
Terry Mulholland,0,0,1,0.9999856272715648,0.9999712547497049
Jesse Barnes,0,0,1,0.9795901145958706,0.959596792613951
Joe Coleman (colemjo05),0,0,1,0.9979053965667956,0.9958151804971335
Harry Howell,0,0,1,0.960489910990916,0.9225408691153376
Bret Saberhagen,0,0,1,0.964727584557866,0.9306993124068546
Scott Sanderson,0,0,1,0.9926741233592822,0.9854019151871194
Bill Gullickson,0,0,1,0.9945299706286604,0.9890898624786442
Eddie Rommel,0,0,1,0.9611425387239644,0.9237949797447473
Paul Splittorff,0,0,1,0.9967032275407814,0.9934173237902107
Jeff Suppan,0,0,1,0.999912834243479,0.9998256760848271
