O*NET-SOC Code,Title,Technology Design Combined,Developing Objectives and Strategies Combined,Fluency of Ideas Combined,Writing Combined,Thinking Creatively Combined,Originality Combined
29-1031.00,Dietitians and Nutritionists,1.1339285714285714,2.254857142857143,2.096342857142857,2.748571428571428,2.3647142857142853,2.3857142857142857
29-1041.00,Optometrists,1.1106285714285715,2.5383285714285715,1.9449142857142856,2.7142857142857144,2.3085714285714287,1.8057142857142856
29-1051.00,Pharmacists,1.0885714285714283,1.452457142857143,1.9449142857142856,2.645714285714285,1.6387142857142858,1.6942857142857144
29-1071.00,Physician Assistants,1.1408,2.1670857142857143,1.9285714285714288,2.7142857142857144,2.2042,1.8057142857142856
29-1071.01,Anesthesiologist Assistants,1.147857142857143,2.038142857142857,1.7200000000000002,2.06,2.403,1.6063428571428573
29-1081.00,Podiatrists,1.4249999999999998,2.073914285714286,2.125,2.748571428571428,2.6107428571428573,1.9657142857142855
29-1122.00,Occupational Therapists,1.1734857142857142,3.2095857142857143,2.524285714285714,2.7142857142857144,3.2395714285714283,2.524285714285714
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",1.231428571428571,2.428714285714286,2.1492,2.571428571428571,2.588571428571428,2.086428571428572
29-1123.00,Physical Therapists,1.2036571428571428,2.528057142857143,2.0028571428571427,2.645714285714285,2.791728571428571,1.8914285714285717
29-1124.00,Radiation Therapists,1.1257142857142857,1.644285714285714,1.8571428571428568,1.9842857142857144,2.0721142857142856,1.467857142857143
29-1125.00,Recreational Therapists,1.1408,2.2565285714285714,1.9842857142857144,2.645714285714285,3.4467142857142856,2.205357142857143
29-1126.00,Respiratory Therapists,1.2208,2.043428571428572,1.7385714285714284,2.06,1.8668714285714287,1.8057142857142856
29-1127.00,Speech-Language Pathologists,1.2363428571428572,3.046342857142857,2.6185714285714288,2.877142857142857,2.600942857142857,2.2471428571428573
29-1128.00,Exercise Physiologists,1.25,2.2566571428571427,2.06,2.645714285714285,2.2878857142857143,2.1357142857142857
29-1129.01,Art Therapists,1.1257142857142857,2.7724,2.571428571428571,2.4971428571428573,4.258514285714286,2.2471428571428573
29-1129.02,Music Therapists,1.157142857142857,2.9059428571428567,2.524285714285714,2.205357142857143,4.122742857142857,2.4522285714285714
29-1131.00,Veterinarians,1.1257142857142857,1.7369285714285714,1.9657142857142855,2.4714285714285715,1.787057142857143,1.9657142857142855
29-1141.00,Registered Nurses,1.1408,2.1881714285714287,1.9449142857142856,2.524285714285714,2.6373571428571427,1.8914285714285717
29-1141.01,Acute Care Nurses,1.1734857142857142,1.93,1.9842857142857144,2.7142857142857144,2.503542857142857,1.8571428571428568
29-1141.02,Advanced Practice Psychiatric Nurses,1.0664285714285715,2.725314285714286,2.1492,2.7142857142857144,3.0692142857142857,2.105
29-1141.03,Critical Care Nurses,1.1257142857142857,2.036914285714285,2.2308,2.36,2.341814285714286,1.9842857142857144
29-1141.04,Clinical Nurse Specialists,1.0357142857142856,2.7207142857142856,2.06,2.645714285714285,2.8018857142857145,1.9657142857142855
