4MA Error,4MA Squared Error,4MA Absolute Error
-246.5,60784,246.5
-1890.0,3572490,1890.0
1943.25,3776660,1943.25
2420.75,5860307,2420.75
-1351.5,1827454,1351.5
-1874.0,3512005,1874.0
-62.75,5084,62.75
160.25,26157,160.25
2253.5,5083420,2253.5
2659.25,7071859,2659.25
2404.25,5786905,2404.25
-761.25,579593,761.25
-970.0,941518,970.0
80.75,10225,80.75
-1867.5,3488254,1867.5
-2431.25,5914291,2431.25
-1019.75,1041970,1019.75
-1042.75,1087444,1042.75
-421.75,180091,421.75
-616.0,379502,616.0
3773.75,14241720,3773.75
-3597.25,12940263,3597.25
-2115.75,4476517,2115.75
-598.75,363026,598.75
-1140.0,1299650,1140.0
-1483.25,2200615,1483.25
-1549.75,2402855,1549.75
-2338.0,5466852,2338.0
-2378.75,5658487,2378.75
685.0,469933,685.0
-1796.25,3227661,1796.25
-1184.0,1401884,1184.0
185.0,34378,185.0
-175.5,31111,175.5
813.5,666036,813.5
-2567.0,6589836,2567.0
-308.0,94948,308.0
-1297.25,1682937,1297.25
775.0,600866,775.0
-1515.0,2295278,1515.0
198.0,39548,198.0
198.0,39548,198.0
228.0,52971,228.0
1222.25,1494002,1222.25
-127.25,33362,134.75
360.25,130625,360.25
50.25,5323,52.75
-1021.25,1042975,1021.25
1306.0,1716874,1306.0
-726.5,529291,726.5
-551.5,322990,551.5
-1120.75,1262919,1120.75
-2719.25,7394479,2719.25
-912.75,834000,912.75
-3094.5,9576012,3094.5
-521.75,272317,521.75
-567.75,323769,567.75
19639.75,385835302,19639.75
-1595.75,2546506,1595.75
-354.75,126733,354.75
3.75,349,18.25
-939.0,881752,939.0
-939.0,881752,939.0
-556.0,309188,556.0
-751.5,565884,751.5
-362.25,131365,362.25
181.0,33304,181.0
-1175.5,1381902,1175.5
-1037.5,1077884,1037.5
-1464.5,2151580,1464.5
-1733.25,3004374,1733.25
1358.5,1847612,1358.5
565.75,320182,565.75
-835.5,698219,835.5
-1352.25,1833118,1352.25
-1420.0,2024274,1420.0
-1092.5,1193785,1092.5
-430.75,185603,430.75
-2675.5,7158860,2675.5
-620.75,385869,620.75
-1692.75,2865798,1692.75
462.0,213520,462.0
-980.0,961906,980.0
-922.0,851792,922.0
1177.75,1391771,1177.75
1663.25,2766822,1663.25
496.75,247398,496.75
3223.5,10395144,3223.5
2204.0,4861736,2204.0
2252.5,5076466,2252.5
-199.5,42780,199.5
1598.25,2559527,1598.25
-1033.0,1067772,1033.0
410.0,170084,410.0
1656.0,2757749,1656.0
213.25,46988,213.25
-1080.75,1169702,1080.75
452.0,204464,452.0
-89.0,8268,89.0
1251.75,1567422,1251.75
892.5,796950,892.5
4042.25,16340295,4042.25
-1178.0,1388050,1178.0
2497.0,6235071,2497.0
-2959.25,8757257,2959.25
-250.0,62874,250.0
-287.75,84113,287.75
-2831.5,8020314,2831.5
-1811.25,3280987,1811.25
