O*NET-SOC Code,Title,Originality Combined,Technology Design Combined,Thinking Creatively Combined,Writing Combined
11-9051.00,Food Service Managers,1.8057142857142856,1.0089285714285714,2.134,1.8914285714285717
11-9071.00,Gambling Managers,1.7200000000000002,1.0442857142857145,2.1253714285714285,2.4522285714285714
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",2.086428571428572,1.0336571428571428,3.2577142857142856,2.4971428571428573
11-9081.00,Lodging Managers,2.2308,1.1257142857142857,2.7624571428571425,2.645714285714285
11-9111.00,Medical and Health Services Managers,2.1357142857142857,1.16,2.8983428571428576,2.7142857142857144
11-9121.00,Natural Sciences Managers,2.3192,1.6665142857142858,2.9352,3.057142857142857
11-9121.01,Clinical Research Coordinators,1.8057142857142856,1.0664285714285715,2.0771714285714284,2.7142857142857144
11-9121.02,Water Resource Specialists,2.125,1.2036571428571428,3.0397000000000003,2.7142857142857144
11-9131.00,Postmasters and Mail Superintendents,1.8571428571428568,1.1408,2.287414285714286,2.205357142857143
11-9141.00,"Property, Real Estate, and Community Association Managers",1.7200000000000002,1.0089285714285714,2.309285714285714,2.4971428571428573
11-9151.00,Social and Community Service Managers,2.4732142857142856,1.1408,2.6359000000000004,2.571428571428571
11-9161.00,Emergency Management Directors,2.6185714285714288,1.0357142857142856,2.8057857142857143,2.821428571428571
11-9171.00,Funeral Home Managers,1.7734857142857143,1.0664285714285715,3.350857142857143,2.096342857142857
11-9179.01,Fitness and Wellness Coordinators,2.1357142857142857,1.231428571428571,2.839428571428571,2.2928571428571427
11-9179.02,Spa Managers,2.023657142857143,1.1734857142857142,2.6900857142857144,2.096342857142857
11-9199.01,Regulatory Affairs Managers,1.8914285714285717,1.0664285714285715,2.6272,2.912857142857143
11-9199.02,Compliance Managers,1.8057142857142856,1.0803571428571428,2.625657142857143,2.6950857142857143
11-9199.08,Loss Prevention Managers,2.2308,1.12,2.505285714285714,2.524285714285714
11-9199.09,Wind Energy Operations Managers,1.8914285714285717,1.1785714285714286,3.107671428571429,2.571428571428571
11-9199.10,Wind Energy Development Managers,1.8728571428571428,1.1071428571428572,2.538457142857143,2.596342857142857
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,2.096342857142857,1.1735714285714285,2.5860571428571437,2.6950857142857143
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",2.023657142857143,1.0206285714285714,3.2403,2.4522285714285714
13-1021.00,"Buyers and Purchasing Agents, Farm Products",1.8571428571428568,1.1071428571428572,2.6100000000000003,1.9449142857142856
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",1.8914285714285717,1.0549142857142857,2.130285714285714,1.9657142857142855
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.8571428571428568,1.0803571428571428,2.392,2.7142857142857144
13-1031.00,"Claims Adjusters, Examiners, and Investigators",1.6063428571428573,1.0803571428571428,1.8495714285714284,2.4522285714285714
13-1032.00,"Insurance Appraisers, Auto Damage",1.5165142857142857,1.0271428571428571,1.886757142857143,2.2767857142857144
13-1041.00,Compliance Officers,1.7036571428571428,1.0271428571428571,1.8412857142857144,2.422142857142857
13-1041.01,Environmental Compliance Inspectors,1.837942857142857,1.0942857142857143,1.8414285714285712,2.6950857142857143
13-1041.03,Equal Opportunity Representatives and Officers,1.94,1.0942857142857143,2.222857142857143,2.8020571428571426
13-1041.04,Government Property Inspectors and Investigators,1.8057142857142856,1.0664285714285715,2.0690857142857144,2.7142857142857144
13-1041.06,Coroners,1.9085714285714288,1.0442857142857145,2.4935714285714283,2.4971428571428573
13-1041.07,Regulatory Affairs Specialists,1.8728571428571428,1.1257142857142857,1.8414285714285712,2.765714285714286
13-1041.08,Customs Brokers,1.8057142857142856,1.0942857142857143,2.089257142857143,2.524285714285714
13-1051.00,Cost Estimators,1.8057142857142856,1.0535714285714286,2.6575,2.4285714285714284
13-1071.00,Human Resources Specialists,1.78,1.0803571428571428,2.1979,2.645714285714285
13-1074.00,Farm Labor Contractors,1.2857142857142856,1.0,1.182057142857143,1.6875
13-1075.00,Labor Relations Specialists,2.3392857142857144,1.0206285714285714,2.376428571428572,2.928571428571429
13-1081.00,Logisticians,2.3857142857142857,1.0803571428571428,2.4714285714285715,2.275
13-1081.01,Logistics Engineers,2.645714285714285,1.6063428571428573,2.9065000000000003,2.8363428571428573
13-1081.02,Logistics Analysts,2.1357142857142857,1.22,2.665,2.36
13-1111.00,Management Analysts,2.205357142857143,1.2208,3.4133142857142857,2.7142857142857144
13-1121.00,"Meeting, Convention, and Event Planners",2.354914285714286,1.0803571428571428,2.934957142857143,2.2928571428571427
13-1131.00,Fundraisers,2.205357142857143,1.0803571428571428,3.366,2.765714285714286
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",1.9285714285714288,1.0357142857142856,2.316857142857143,2.3192
13-1151.00,Training and Development Specialists,2.4522285714285714,1.157142857142857,2.841614285714286,2.6950857142857143
13-1161.00,Market Research Analysts and Marketing Specialists,2.1492,1.0664285714285715,3.283228571428571,2.765714285714286
13-1161.01,Search Marketing Strategists,2.2471428571428573,1.4435714285714285,3.256,2.3392857142857144
13-1199.04,Business Continuity Planners,2.3392857142857144,1.0664285714285715,2.5232,2.877142857142857
13-1199.05,Sustainability Specialists,2.2928571428571427,1.12,2.855371428571429,2.765714285714286
13-1199.06,Online Merchants,1.7200000000000002,1.12,2.3505142857142856,2.105
13-1199.07,Security Management Specialists,2.3857142857142857,1.3706285714285715,3.0439285714285718,2.4035714285714285
13-2011.00,Accountants and Auditors,1.75,1.0942857142857143,2.3347571428571428,2.2928571428571427
13-2022.00,Appraisers of Personal and Business Property,1.6364285714285711,1.0089285714285714,2.1784285714285714,2.25
13-2023.00,Appraisers and Assessors of Real Estate,1.4249999999999998,1.0271428571428571,1.8391857142857144,2.105
13-2031.00,Budget Analysts,1.8057142857142856,1.0942857142857143,2.192457142857143,2.1750857142857143
13-2041.00,Credit Analysts,1.6063428571428573,1.0,1.7542857142857144,2.1750857142857143
13-2052.00,Personal Financial Advisors,1.8571428571428568,1.0357142857142856,2.474971428571429,2.645714285714285
13-2053.00,Insurance Underwriters,1.7385714285714284,1.0549142857142857,1.9005714285714288,2.4732142857142856
13-2061.00,Financial Examiners,1.8914285714285717,1.0206285714285714,1.6394142857142855,2.7142857142857144
13-2071.00,Credit Counselors,1.837942857142857,1.1071428571428572,2.116342857142857,2.4732142857142856
13-2072.00,Loan Officers,1.4,1.1106285714285715,2.1429142857142853,2.3192
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",1.467857142857143,1.0357142857142856,1.8829,2.044642857142857
13-2082.00,Tax Preparers,1.6942857142857144,1.0271428571428571,1.8135714285714288,1.8571428571428568
13-2099.01,Financial Quantitative Analysts,2.096342857142857,1.1734857142857142,3.278571428571428,2.4285714285714284
13-2099.04,"Fraud Examiners, Investigators and Analysts",1.8571428571428568,1.0206285714285714,2.3289142857142853,2.8363428571428573
15-1211.00,Computer Systems Analysts,2.0342857142857143,1.837942857142857,2.765857142857143,2.36
15-1211.01,Health Informatics Specialists,2.645714285714285,1.7200000000000002,3.617900000000001,2.7142857142857144
15-1212.00,Information Security Analysts,1.9285714285714288,1.3392000000000002,2.718857142857143,2.3392857142857144
15-1221.00,Computer and Information Research Scientists,2.6393714285714287,2.2477714285714288,4.081185714285715,2.4008000000000003
15-1231.00,Computer Network Support Specialists,1.722057142857143,1.3008,2.4178,2.0
15-1232.00,Computer User Support Specialists,1.8057142857142856,1.231428571428571,2.6530142857142858,2.1142857142857143
15-1241.00,Computer Network Architects,2.0342857142857143,2.023657142857143,2.54,2.4035714285714285
15-1241.01,Telecommunications Engineering Specialists,1.9842857142857144,1.6364285714285711,2.6393714285714287,2.205357142857143
15-1242.00,Database Administrators,2.0,1.4691999999999998,2.9539,2.2471428571428573
15-1243.00,Database Architects,2.1085714285714285,1.8571428571428568,3.266142857142857,2.1750857142857143
15-1243.01,Data Warehousing Specialists,1.9285714285714288,1.6364285714285711,3.334171428571428,2.086428571428572
15-1244.00,Network and Computer Systems Administrators,2.096342857142857,1.75,2.6336571428571425,2.1357142857142857
15-1251.00,Computer Programmers,1.9285714285714288,1.595,3.7613571428571424,2.044642857142857
15-1252.00,Software Developers,2.023657142857143,2.2308,3.592642857142857,2.1635714285714283
15-1253.00,Software Quality Assurance Analysts and Testers,1.8571428571428568,1.6063428571428573,3.0112857142857146,2.524285714285714
15-1254.00,Web Developers,2.096342857142857,1.51,3.7764285714285712,2.06
15-1255.01,Video Game Designers,2.765714285714286,1.8571428571428568,4.565714285714286,2.2471428571428573
15-1299.01,Web Administrators,1.9285714285714288,1.4435714285714285,3.582857142857143,2.086428571428572
15-1299.02,Geographic Information Systems Technologists and Technicians,1.8057142857142856,1.1734857142857142,3.132428571428571,1.9842857142857144
15-1299.03,Document Management Specialists,1.8571428571428568,1.28,2.1622857142857144,2.524285714285714
15-1299.05,Information Security Engineers,1.9077714285714285,1.4435714285714285,2.5922285714285715,2.542057142857143
15-1299.08,Computer Systems Engineers/Architects,2.524285714285714,1.5892857142857142,2.435085714285714,2.645714285714285
15-1299.09,Information Technology Project Managers,2.044642857142857,1.3008,2.983928571428572,2.7142857142857144
15-2011.00,Actuaries,1.94,1.1257142857142857,2.6246285714285715,2.4285714285714284
15-2021.00,Mathematicians,2.866071428571429,1.0549142857142857,4.462142857142857,2.7292
15-2031.00,Operations Research Analysts,2.4971428571428573,1.12,3.5508571428571427,2.7142857142857144
15-2041.00,Statisticians,2.0342857142857143,1.0549142857142857,3.468571428571429,2.6696428571428568
15-2041.01,Biostatisticians,2.2471428571428573,1.0885714285714283,2.7733,3.0077714285714285
15-2051.01,Business Intelligence Analysts,1.9842857142857144,1.077942857142857,2.998357142857143,2.571428571428571
15-2051.02,Clinical Data Managers,1.9657142857142855,1.147857142857143,2.396428571428572,2.571428571428571
15-2099.01,Bioinformatics Technicians,1.9285714285714288,1.32,3.580014285714286,2.3392857142857144
17-1011.00,"Architects, Except Landscape and Naval",2.821428571428571,1.2857142857142856,3.7442285714285712,2.6950857142857143
17-1012.00,Landscape Architects,2.782857142857143,1.1071428571428572,3.7,2.4971428571428573
17-1021.00,Cartographers and Photogrammetrists,1.8571428571428568,1.0664285714285715,2.8426571428571425,2.2928571428571427
17-1022.00,Surveyors,1.8057142857142856,1.0549142857142857,2.6372714285714283,2.571428571428571
17-1022.01,Geodetic Surveyors,1.7734857142857143,1.147857142857143,2.607814285714286,2.542057142857143
17-2011.00,Aerospace Engineers,2.4008000000000003,2.205357142857143,3.908714285714286,2.8514285714285714
17-2021.00,Agricultural Engineers,2.2308,1.75,3.8285714285714287,2.7142857142857144
17-2031.00,Bioengineers and Biomedical Engineers,2.6393714285714287,2.275,3.896742857142857,2.821428571428571
17-2041.00,Chemical Engineers,2.4285714285714284,1.7734857142857143,2.6934857142857145,2.211428571428572
17-2051.00,Civil Engineers,2.2857142857142856,1.4464285714285716,2.7659571428571423,2.2471428571428573
17-2051.01,Transportation Engineers,2.205357142857143,1.6875,2.7764571428571427,2.765714285714286
17-2051.02,Water/Wastewater Engineers,2.4522285714285714,1.8728571428571428,2.8285,2.7142857142857144
17-2061.00,Computer Hardware Engineers,2.4285714285714284,1.6364285714285711,3.863342857142857,2.6950857142857143
17-2071.00,Electrical Engineers,2.125,1.3571428571428572,3.6276142857142855,2.894285714285714
17-2072.00,"Electronics Engineers, Except Computer",2.36,1.9285714285714288,3.166514285714286,2.4285714285714284
17-2072.01,Radio Frequency Identification Device Specialists,1.8914285714285717,1.6685714285714286,3.769828571428572,2.1635714285714283
17-2081.00,Environmental Engineers,2.4971428571428573,1.0664285714285715,2.9550714285714283,2.821428571428571
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",2.105,1.2514285714285711,2.582057142857143,2.524285714285714
17-2111.02,Fire-Prevention and Protection Engineers,2.205357142857143,1.8571428571428568,2.8915,2.645714285714285
17-2112.00,Industrial Engineers,2.125,1.3008,3.230485714285714,2.6185714285714288
17-2112.01,Human Factors Engineers and Ergonomists,2.4522285714285714,2.1750857142857143,3.0805,2.877142857142857
17-2112.02,Validation Engineers,1.8914285714285717,1.157142857142857,2.08,2.765714285714286
17-2112.03,Manufacturing Engineers,2.542057142857143,2.4971428571428573,2.986857142857143,2.7207142857142856
17-2121.00,Marine Engineers and Naval Architects,2.4522285714285714,1.5357142857142858,2.8427999999999995,2.571428571428571
17-2131.00,Materials Engineers,2.36,1.6665142857142858,3.643142857142857,2.7207142857142856
17-2141.00,Mechanical Engineers,2.36,2.06,3.5505142857142857,2.36
17-2141.01,Fuel Cell Engineers,2.4285714285714284,1.837942857142857,3.161342857142857,2.6185714285714288
17-2141.02,Automotive Engineers,2.9008000000000003,2.1750857142857143,3.0266285714285712,2.6950857142857143
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",2.3857142857142857,1.6171428571428572,2.643742857142857,2.821428571428571
17-2161.00,Nuclear Engineers,2.3192,1.7734857142857143,3.063471428571429,3.0357142857142856
17-2171.00,Petroleum Engineers,2.3192,1.4017857142857142,3.3947000000000003,2.748571428571428
17-2199.03,"Energy Engineers, Except Wind and Solar",2.1635714285714283,1.3392000000000002,3.527242857142857,2.6950857142857143
17-2199.05,Mechatronics Engineers,2.4008000000000003,2.096342857142857,3.187428571428572,2.571428571428571
17-2199.06,Microsystems Engineers,2.4285714285714284,1.5165142857142857,3.25,2.571428571428571
17-2199.07,Photonics Engineers,2.8150000000000004,2.2471428571428573,3.481657142857143,2.954285714285714
17-2199.08,Robotics Engineers,2.9008000000000003,2.4008000000000003,3.924714285714286,2.524285714285714
17-2199.09,Nanosystems Engineers,2.7207142857142856,2.1750857142857143,3.7307,2.9008000000000003
17-2199.10,Wind Energy Engineers,2.096342857142857,1.5165142857142857,2.434085714285714,2.275
17-2199.11,Solar Energy Systems Engineers,2.3857142857142857,1.4464285714285716,2.0928571428571425,2.645714285714285
17-3011.00,Architectural and Civil Drafters,2.0608,1.3785714285714286,2.883971428571429,2.19
17-3012.00,Electrical and Electronics Drafters,1.8057142857142856,1.3125,2.201928571428572,2.25
17-3013.00,Mechanical Drafters,2.086428571428572,1.542142857142857,3.032028571428571,1.8914285714285717
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,1.8057142857142856,1.2208,2.3923,1.9449142857142856
17-3022.00,Civil Engineering Technologists and Technicians,1.822857142857143,1.0803571428571428,2.2948142857142857,2.125
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,1.9285714285714288,1.231428571428571,2.713857142857143,2.044642857142857
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,1.8914285714285717,1.24,2.399142857142857,1.9449142857142856
17-3024.01,Robotics Technicians,1.9285714285714288,1.7200000000000002,2.765028571428571,2.0028571428571427
17-3025.00,Environmental Engineering Technologists and Technicians,1.8571428571428568,1.268571428571429,1.8019000000000005,2.1750857142857143
17-3026.00,Industrial Engineering Technologists and Technicians,2.1635714285714283,1.8914285714285717,3.2274,2.1357142857142857
17-3026.01,Nanotechnology Engineering Technologists and Technicians,2.023657142857143,1.3571428571428572,2.8034285714285714,2.6185714285714288
17-3027.00,Mechanical Engineering Technologists and Technicians,1.9842857142857144,1.4691999999999998,2.6347428571428573,2.2928571428571427
17-3027.01,Automotive Engineering Technicians,1.9285714285714288,1.25,2.4148000000000005,2.044642857142857
17-3029.01,Non-Destructive Testing Specialists,1.6171428571428572,1.0942857142857143,2.625,2.0028571428571427
17-3029.08,Photonics Technicians,1.6665142857142858,1.3571428571428572,2.273742857142857,1.9449142857142856
17-3031.00,Surveying and Mapping Technicians,1.625,1.1071428571428572,1.8757857142857144,2.125
19-1011.00,Animal Scientists,2.2471428571428573,1.1408,3.596628571428572,2.821428571428571
19-1012.00,Food Scientists and Technologists,2.4971428571428573,1.1408,3.148771428571429,2.6950857142857143
19-1013.00,Soil and Plant Scientists,2.645714285714285,1.1607142857142858,3.405142857142857,2.8020571428571426
19-1021.00,Biochemists and Biophysicists,2.8150000000000004,1.4608,4.4017857142857135,3.377142857142857
19-1022.00,Microbiologists,2.326514285714285,1.1734857142857142,2.8018857142857145,3.091428571428572
19-1023.00,Zoologists and Wildlife Biologists,2.0028571428571427,1.1785714285714286,2.9337142857142857,2.6950857142857143
19-1029.01,Bioinformatics Scientists,2.6696428571428568,1.3785714285714286,4.372285714285715,2.954285714285714
19-1029.02,Molecular and Cellular Biologists,2.7678571428571432,1.2857142857142856,3.625342857142857,3.321428571428572
19-1029.03,Geneticists,2.571428571428571,1.1408,3.4781714285714287,3.091428571428572
19-1029.04,Biologists,2.1750857142857143,1.0549142857142857,3.0498285714285718,3.2285714285714286
19-1031.00,Conservation Scientists,2.1635714285714283,1.1408,2.4490285714285718,2.3857142857142857
19-1031.02,Range Managers,2.1635714285714283,1.062857142857143,2.9694285714285718,2.2857142857142856
19-1031.03,Park Naturalists,1.9842857142857144,1.1339285714285714,3.402357142857143,2.571428571428571
19-1032.00,Foresters,2.1635714285714283,1.3008,2.254,2.6185714285714288
19-1041.00,Epidemiologists,2.6950857142857143,1.0206285714285714,3.4080285714285714,3.0592
19-1042.00,"Medical Scientists, Except Epidemiologists",2.2857142857142856,1.0803571428571428,4.030685714285714,3.265714285714286
19-2011.00,Astronomers,2.6185714285714288,1.2857142857142856,3.6763857142857135,3.2285714285714286
19-2012.00,Physicists,3.34,1.845,3.7811428571428567,3.142857142857143
19-2021.00,Atmospheric and Space Scientists,1.8914285714285717,1.147857142857143,3.109714285714286,2.645714285714285
19-2031.00,Chemists,1.9657142857142855,1.0885714285714283,2.477542857142857,2.8150000000000004
19-2032.00,Materials Scientists,2.3242857142857147,1.2036571428571428,3.3049285714285714,2.8020571428571426
19-2041.00,"Environmental Scientists and Specialists, Including Health",2.096342857142857,1.1885714285714286,2.1283142857142856,2.98
19-2041.01,Climate Change Policy Analysts,2.06,1.1408,2.760357142857143,2.6950857142857143
19-2041.02,Environmental Restoration Planners,2.1750857142857143,1.231428571428571,3.013428571428572,2.748571428571428
19-2041.03,Industrial Ecologists,2.36,1.2036571428571428,3.2099,2.98
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",2.023657142857143,1.0664285714285715,3.525714285714286,2.9008000000000003
19-2043.00,Hydrologists,2.3242857142857147,1.0885714285714283,3.204071428571429,2.542057142857143
19-2099.01,Remote Sensing Scientists and Technologists,2.3192,1.4691999999999998,3.3355428571428574,2.9008000000000003
19-3011.00,Economists,2.06,1.0206285714285714,3.4870857142857146,2.877142857142857
19-3011.01,Environmental Economists,2.2857142857142856,1.147857142857143,3.1922714285714284,2.9522285714285714
19-3022.00,Survey Researchers,1.9842857142857144,1.1408,3.080457142857143,3.0892857142857144
19-3032.00,Industrial-Organizational Psychologists,2.645714285714285,1.1408,2.814057142857143,3.265714285714286
19-3033.00,Clinical and Counseling Psychologists,2.3192,1.0549142857142857,3.106514285714286,2.9732142857142856
19-3034.00,School Psychologists,2.0,1.0549142857142857,2.1334857142857144,2.765714285714286
19-3039.02,Neuropsychologists,2.096342857142857,1.0549142857142857,2.451257142857143,3.2935714285714286
19-3039.03,Clinical Neuropsychologists,2.096342857142857,1.0803571428571428,2.416528571428572,2.8020571428571426
19-3041.00,Sociologists,2.1750857142857143,1.0549142857142857,3.751785714285714,3.0357142857142856
19-3051.00,Urban and Regional Planners,2.2857142857142856,1.0992,3.267428571428572,2.6950857142857143
19-3091.00,Anthropologists and Archeologists,1.9842857142857144,1.0442857142857145,3.4975,3.321428571428572
19-3092.00,Geographers,2.023657142857143,1.0803571428571428,3.2285714285714286,3.1750857142857143
19-3093.00,Historians,1.8057142857142856,1.0357142857142856,1.9788142857142856,3.1750857142857143
19-3094.00,Political Scientists,2.06,1.0442857142857145,3.556314285714286,2.98
19-3099.01,Transportation Planners,2.4971428571428573,1.0885714285714283,3.1785714285714284,2.765714285714286
19-4012.00,Agricultural Technicians,1.8571428571428568,1.0357142857142856,1.6919,2.023657142857143
19-4012.01,Precision Agriculture Technicians,1.8571428571428568,1.0664285714285715,2.459542857142857,2.25
19-4013.00,Food Science Technicians,1.4249999999999998,1.0206285714285714,1.6630285714285715,2.2071428571428573
19-4021.00,Biological Technicians,1.837942857142857,1.1734857142857142,2.2639428571428573,2.275
19-4031.00,Chemical Technicians,1.8914285714285717,1.231428571428571,1.855,2.645714285714285
19-4042.00,"Environmental Science and Protection Technicians, Including Health",1.837942857142857,1.0442857142857145,1.8455285714285716,2.645714285714285
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",1.6364285714285711,1.16,1.9517714285714285,2.125
19-4051.00,Nuclear Technicians,1.655,1.1408,1.7450714285714286,2.086428571428572
19-4051.02,Nuclear Monitoring Technicians,1.8571428571428568,1.0549142857142857,2.155885714285714,2.096342857142857
19-4061.00,Social Science Research Assistants,1.8571428571428568,1.1339285714285714,2.306628571428572,2.524285714285714
19-4071.00,Forest and Conservation Technicians,1.822857142857143,1.16,2.3102714285714283,1.8914285714285717
19-4092.00,Forensic Science Technicians,1.837942857142857,1.0206285714285714,1.460457142857143,2.765714285714286
19-4099.01,Quality Control Analysts,1.837942857142857,1.0992,1.6182,2.086428571428572
19-4099.03,Remote Sensing Technicians,2.086428571428572,1.2036571428571428,2.718228571428571,2.205357142857143
19-5011.00,Occupational Health and Safety Specialists,1.8571428571428568,1.1257142857142857,2.378914285714286,2.7142857142857144
19-5012.00,Occupational Health and Safety Technicians,1.8571428571428568,1.1257142857142857,2.5768,2.524285714285714
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,1.9449142857142856,1.1071428571428572,2.9474714285714287,2.7142857142857144
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",2.06,1.0271428571428571,2.6554,2.645714285714285
21-1013.00,Marriage and Family Therapists,2.31,1.0357142857142856,2.539685714285714,2.821428571428571
21-1014.00,Mental Health Counselors,2.36,1.0357142857142856,3.4118714285714287,2.8363428571428573
21-1015.00,Rehabilitation Counselors,2.023657142857143,1.0442857142857145,2.6644142857142854,2.4971428571428573
21-1021.00,"Child, Family, and School Social Workers",2.023657142857143,1.0442857142857145,2.9456,2.6185714285714288
21-1022.00,Healthcare Social Workers,2.0342857142857143,1.0664285714285715,2.494,2.6950857142857143
21-1023.00,Mental Health and Substance Abuse Social Workers,2.524285714285714,1.1071428571428572,3.063142857142857,2.571428571428571
21-1091.00,Health Education Specialists,2.086428571428572,1.1071428571428572,3.1775857142857142,2.782857142857143
21-1092.00,Probation Officers and Correctional Treatment Specialists,1.78,1.0442857142857145,2.2021428571428574,2.524285714285714
21-1093.00,Social and Human Service Assistants,1.9285714285714288,1.0942857142857143,2.4641285714285712,2.4522285714285714
21-1094.00,Community Health Workers,1.8571428571428568,1.0714285714285714,2.9802571428571425,2.662857142857143
21-2011.00,Clergy,2.596342857142857,1.0442857142857145,2.7561857142857145,2.6950857142857143
21-2021.00,"Directors, Religious Activities and Education",2.105,1.1408,3.1828,2.2471428571428573
23-1011.00,Lawyers,2.571428571428571,1.0357142857142856,2.9762000000000004,3.265714285714286
23-1012.00,Judicial Law Clerks,1.7200000000000002,1.0664285714285715,2.146857142857143,2.9522285714285714
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",1.8057142857142856,1.0942857142857143,2.031085714285714,3.1750857142857143
23-1022.00,"Arbitrators, Mediators, and Conciliators",1.8914285714285717,1.0089285714285714,2.7395571428571426,3.0892857142857144
23-1023.00,"Judges, Magistrate Judges, and Magistrates",1.8914285714285717,1.0803571428571428,2.047657142857143,3.1750857142857143
23-2011.00,Paralegals and Legal Assistants,1.6665142857142858,1.0549142857142857,1.673257142857143,2.662857142857143
23-2093.00,"Title Examiners, Abstractors, and Searchers",1.3008,1.0,1.4269571428571428,2.2308
25-1011.00,"Business Teachers, Postsecondary",1.9657142857142855,1.0549142857142857,3.052357142857143,3.142857142857143
25-1021.00,"Computer Science Teachers, Postsecondary",2.096342857142857,1.268571428571429,3.852285714285714,3.091428571428572
25-1022.00,"Mathematical Science Teachers, Postsecondary",2.06,1.0549142857142857,2.7664,2.954285714285714
25-1031.00,"Architecture Teachers, Postsecondary",2.3242857142857147,1.0942857142857143,3.6839714285714287,3.142857142857143
25-1032.00,"Engineering Teachers, Postsecondary",2.2471428571428573,1.2363428571428572,4.334414285714286,2.954285714285714
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",2.1357142857142857,1.0803571428571428,3.3417571428571438,3.142857142857143
