O*NET-SOC Code,Title,Analyzing Data or Information Combined,Documenting/Recording Information Combined,E-Mail,"Estimating the Quantifiable Characteristics of Products, Events, or Information Combined",Getting Information Combined,Information Ordering Combined,Interpreting the Meaning of Information for Others Combined,Processing Information Combined,Programming Combined,Working with Computers Combined
15-1211.00,Computer Systems Analysts,2.8630000000000004,2.258,5.0,2.049714285714286,2.887314285714285,2.7142857142857144,2.4257,3.4353,2.2857142857142856,4.394285714285715
15-1211.01,Health Informatics Specialists,3.8188,3.0948285714285717,5.0,2.1395,3.647642857142857,2.571428571428571,3.45,3.689200000000001,1.837942857142857,3.4064
15-1212.00,Information Security Analysts,3.1296,2.9392000000000005,4.96,1.9560857142857144,3.35,2.596342857142857,2.593114285714286,3.299842857142857,1.5207142857142857,3.780285714285714
15-1221.00,Computer and Information Research Scientists,4.066685714285714,3.445657142857143,5.0,3.148571428571429,3.777057142857143,2.6696428571428568,3.447828571428571,3.983257142857143,2.684285714285714,4.402857142857143
15-1231.00,Computer Network Support Specialists,2.4716,2.070142857142857,4.92,1.5288857142857144,2.991428571428571,2.3392857142857144,1.9226285714285711,2.5823285714285715,1.3125,4.176928571428571
15-1232.00,Computer User Support Specialists,2.406157142857143,2.667014285714286,5.0,1.7494428571428569,3.4445714285714284,2.354914285714286,2.560771428571429,2.9867285714285714,1.3571428571428572,4.0078000000000005
15-1241.00,Computer Network Architects,2.8642857142857143,2.843571428571429,5.0,1.9,3.404285714285715,2.765714285714286,2.25,2.995,2.4893714285714283,4.107142857142857
15-1241.01,Telecommunications Engineering Specialists,2.898571428571429,2.407314285714285,5.0,2.3617,3.3310000000000004,2.275,2.5485714285714285,3.176,1.394285714285714,3.321657142857143
15-1242.00,Database Administrators,3.224285714285714,2.640571428571429,4.92,2.0782857142857143,3.0904000000000003,2.6950857142857143,2.5419857142857145,3.139942857142857,2.3192,4.2555000000000005
15-1243.00,Database Architects,3.921857142857143,3.0837142857142856,4.95,2.7192857142857143,3.481885714285714,2.6185714285714288,2.548,3.8054,2.4008000000000003,4.169142857142857
15-1243.01,Data Warehousing Specialists,4.042857142857143,2.005714285714286,5.0,1.8431285714285717,3.4696,2.645714285714285,2.7371857142857143,3.833714285714286,2.4732142857142856,4.298114285714285
15-1244.00,Network and Computer Systems Administrators,2.4281999999999995,2.407314285714285,4.89,1.629,2.974457142857143,2.645714285714285,2.4127428571428573,2.872,2.4522285714285714,4.3582
15-1251.00,Computer Programmers,3.876342857142857,2.6235142857142857,5.0,2.703314285714286,3.221328571428571,2.571428571428571,2.5490285714285714,3.9079,3.6142857142857134,4.38007142857143
15-1252.00,Software Developers,3.1805714285714286,2.5012,4.5,1.6083571428571428,2.7718857142857143,2.4522285714285714,2.3273714285714284,3.4432571428571426,2.765714285714286,3.537314285714286
15-1253.00,Software Quality Assurance Analysts and Testers,3.3285714285714283,2.967142857142857,5.0,1.8480571428571428,3.528928571428572,2.571428571428571,2.2064,3.5012,2.4035714285714285,3.848057142857143
15-1254.00,Web Developers,2.5421428571428573,2.2721714285714283,4.79,2.125057142857143,3.1625714285714284,2.3392857142857144,2.178314285714285,3.311728571428571,2.894285714285714,3.6550285714285713
15-1255.01,Video Game Designers,2.8857142857142857,2.4114285714285715,5.0,2.035,3.047857142857143,2.596342857142857,2.157142857142857,3.0397142857142856,2.662857142857143,3.3649999999999998
15-1299.01,Web Administrators,2.8642857142857143,2.3145,4.95,1.6214285714285717,3.3328571428571427,2.275,2.7648571428571422,3.128214285714286,1.872228571428572,4.008571428571429
15-1299.02,Geographic Information Systems Technologists and Technicians,3.9241000000000006,2.8202857142857143,4.92,2.665714285714286,3.485714285714286,2.354914285714286,2.8648,3.845,1.837942857142857,3.795914285714286
